latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
37.46763,-121.44851,301,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,270.7,0.6,N
37.47798,-121.45348,309.1,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,266.4,2.5,N
37.47597,-121.42452,344,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,279,8.5,N
37.46048,-121.42819,311.9,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,287.8,3.1,N
37.47647,-121.43173,325.6,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,275.3,8.5,N
37.48094,-121.42414,338,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,275.3,8.5,N
37.48142,-121.43101,326.3,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,272.4,8.5,N
37.48593,-121.42399,304.3,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,275.7,4.2,N
37.48693,-121.43828,305.5,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,281.2,2.9,N
37.48639,-121.43063,336.1,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,278.8,4.2,N
37.47937,-121.77364,312.6,0.32,0.54,2020-08-17,0918,N,VIIRS,n,2.0NRT,289.8,1.9,N
37.47839,-121.75861,310.7,0.64,0.54,2020-08-17,0918,N,VIIRS,n,2.0NRT,291.1,6.7,N
37.48698,-121.78886,333.3,0.32,0.54,2020-08-17,0918,N,VIIRS,n,2.0NRT,292.6,5.3,N
37.48667,-121.78465,344.7,0.32,0.54,2020-08-17,0918,N,VIIRS,n,2.0NRT,293.8,3.1,N
37.50607,-121.42628,314.4,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,293,15.3,N
37.87078,-121.77016,310.7,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,286.8,1.5,N
37.51205,-121.44003,327.4,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,293.2,15.8,N
37.46111,-121.43655,319.7,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,285.4,2.1,N
37.25422,-122.29907,328.5,0.34,0.56,2020-08-17,0918,N,VIIRS,n,2.0NRT,279.6,2.6,N
37.25395,-122.29491,324.5,0.34,0.56,2020-08-17,0918,N,VIIRS,n,2.0NRT,275.4,2.6,N
37.25369,-122.2909,306,0.34,0.56,2020-08-17,0918,N,VIIRS,n,2.0NRT,273.4,1,N
37.49704,-121.43994,308.4,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,290.5,4.1,N
37.87125,-121.77692,318.7,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,291.5,2.2,N
37.87102,-121.77353,321.7,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,289.5,1.5,N
37.8715,-121.78049,325.3,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,292.5,2.2,N
37.87175,-121.78426,320.7,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,292.3,3.2,N
37.47177,-121.79012,334.9,0.32,0.54,2020-08-17,0918,N,VIIRS,n,2.0NRT,287.1,2.7,N
37.82061,-121.78414,312.8,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,287.4,4.5,N
37.47975,-121.75924,312.6,0.63,0.54,2020-08-17,0918,N,VIIRS,n,2.0NRT,291.3,6,N
37.83044,-121.77831,342,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,286.2,3.6,N
37.83025,-121.7755,330.5,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,281.4,4.9,N
37.83064,-121.78127,317.2,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,287.6,3.6,N
37.46714,-121.44143,301.7,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,276.6,0.6,N
37.45131,-121.42918,310.8,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,281.9,3.1,N
37.44695,-121.43874,323.3,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,280.4,3.1,N
37.44745,-121.44616,308,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,280.9,3.4,N
37.47527,-121.42553,351.1,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,276.8,7.5,N
37.47747,-121.45457,312.2,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,270.9,1.6,N
37.47582,-121.43277,313.3,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,274.3,3.7,N
37.8255,-121.78084,331.9,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,287.9,3.6,N
37.84711,-121.79827,317.7,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,290.3,3.1,N
37.84734,-121.80161,308.9,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,288.8,3.1,N
37.85123,-121.78343,316.4,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,290.1,3.4,N
37.85146,-121.78677,337.3,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,292.3,3.7,N
37.82529,-121.77781,345.2,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,287.6,3.6,N
37.82571,-121.78407,312.2,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,287.4,4.4,N
37.82038,-121.78068,345.3,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,288.9,3,N
37.10643,-122.28606,354.1,0.34,0.56,2020-08-17,0918,N,VIIRS,n,2.0NRT,289,6.1,N
37.1053,-122.28675,349.3,0.34,0.56,2020-08-17,0918,N,VIIRS,n,2.0NRT,288.4,3.6,N
37.10503,-122.28287,315.6,0.34,0.56,2020-08-17,0918,N,VIIRS,n,2.0NRT,285.9,3.6,N
37.82017,-121.77752,312.8,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,282.5,3,N
37.47091,-121.434,306.5,0.61,0.53,2020-08-17,0918,N,VIIRS,n,2.0NRT,274.9,3.7,N
37.48035,-121.76758,302.8,0.64,0.54,2020-08-17,0918,N,VIIRS,n,2.0NRT,286.7,3,N
37.87056,-121.76686,317.8,0.32,0.55,2020-08-17,0918,N,VIIRS,n,2.0NRT,286.4,1.9,N
